name,gender,probability
hilma,female,1
joseph,male,1
juliet,female,1
leonie,female,1
lugenia,female,1
mammie,female,1
manda,female,1
manerva,female,1
manie,female,1
nella,female,1
paulina,female,0.98
philomena,female,1
rae,female,0.93
selina,female,1
sena,female,0.84
theodosia,female,1
tommie,male,0.62
una,female,1
vernie,female,0.55
adela,female,1
althea,female,0.96
amalia,female,1
amber,female,0.99
angelina,female,1
annabelle,female,1
anner,female,0.54
arie,female,0.62
clarice,female,0.84
corda,female,0.54
corrie,female,0.83
dell,male,0.55
dellar,female,1
donie,female,0.5
doris,female,0.93
elda,female,0.79
elinor,female,1
emeline,female,1
emilia,female,1
esta,female,0.57
estell,female,0.5
etha,female,1
fred,male,0.94
hope,female,1
indiana,female,0.5
ione,female,1
jettie,female,0.64
johnnie,male,0.77
josiephine,female,1
kitty,female,1
lavina,female,1
leda,female,1
letta,female,1
mahala,female,1
marcia,female,0.89
margarette,female,1
maudie,female,1
maye,female,1
norah,female,1
oda,male,0.58
patty,female,0.58
paula,female,0.97
permelia,female,1
rosalia,female,1
roxanna,female,0.93
sula,female,1
vada,female,0.98
winnifred,female,1
adline,female,1
almira,female,1
alvena,female,1
arizona,female,0.93
becky,female,0.89
bennie,male,0.9
bernadette,female,0.97
camille,female,0.99
cordia,female,1
corine,female,0.64
dicie,female,1
dove,female,0.77
drusilla,female,1
elena,female,1
elenora,female,1
elmina,female,1
ethyl,female,1
evalyn,female,1
evelina,female,1
faye,female,0.98
huldah,female,1
idell,female,0.55
inga,female,1
irena,female,1
jewell,female,0.86
kattie,female,1
lavenia,female,1
leslie,female,0.94
lovina,female,1
lulie,female,1
magnolia,female,1
margeret,female,1
margery,female,1
media,female,1
millicent,female,1
nena,female,1
ocie,male,0.58
orilla,female,1
osie,female,0.5
pansy,female,1
ray,male,0.97
rosia,female,1
rowena,female,1
shirley,female,0.96
tabitha,female,0.98
thomas,male,1
verdie,female,0.55
walter,male,0.99
zetta,female,1
zoa,female,1
zona,female,1
albertina,female,1
albina,female,1
alyce,female,1
amie,female,0.91
angela,female,0.99
annis,male,0.54
carol,female,0.96
carra,female,1
clarence,male,0.97
clarinda,female,1
delphia,female,1
dillie,female,1
doshie,female,1
drucilla,female,1
etna,female,1
eugenie,female,1
eulalia,female,1
eve,female,1
felicia,female,0.94
florance,female,1
fronie,female,1
geraldine,female,0.96
gina,female,0.93
glenna,female,0.62
grayce,female,1
hedwig,female,1
jessica,female,0.99
jossie,female,0.58
katheryn,female,1
katy,female,0.97
lea,female,0.99
leanna,female,0.99
leitha,female,1
leone,male,0.74
lidie,female,1
loma,female,0.5
lular,female,1
magdalen,female,1
maymie,female,1
minervia,female,1
muriel,female,0.85
neppie,female,1
olie,female,0.5
onie,female,0.55
osa,female,0.55
otelia,female,1
paralee,female,1
patience,female,0.98
rella,female,1
rillie,female,1
rosanna,female,0.92
theo,male,0.99
tilda,female,1
tishie,female,1
tressa,female,1
viva,female,1
yetta,female,1
zena,female,1
zola,female,0.96
abby,female,0.99
aileen,female,0.99
alba,female,0.97
alda,female,0.5
alla,female,0.5
alverta,female,1
ara,female,0.83
ardelia,female,1
ardella,female,1
arrie,female,0.61
arvilla,female,1
augustine,male,0.91
aurora,female,1
bama,female,1
bena,female,1
byrd,female,0.55
calla,female,1
camilla,female,0.99
carey,male,0.74
carlotta,female,1
celestia,female,1
cherry,female,0.89
cinda,female,1
classie,female,1
claudine,female,0.62
clemie,female,0.55
clifford,male,0.95
clyda,female,1
creola,female,1
debbie,female,0.82
dee,female,0.54
dinah,female,1
doshia,female,1
ednah,female,1
edyth,female,1
eleanora,female,1
electa,female,1
eola,female,1
erie,male,0.58
eudora,female,1
euphemia,female,1
evalena,female,1
evaline,female,1
faith,female,1
fidelia,female,1
freddie,male,0.94
golda,female,1
harry,male,0.97
helma,female,1
hermine,female,1
hessie,female,0.55
ivah,female,1
janette,female,0.91
jennette,female,1
joella,female,1
kathryne,female,1
lacy,female,0.97
lanie,female,0.95
lauretta,female,1
leana,female,1
leatha,female,1
leo,male,1
liller,female,1
lillis,female,1
